"V1","V2","V3"
"RPAT_Cervix0022","2.5","1.26953"
"RPAT_Cervix0024","2.5","1.26953"
"RPAT_Cervix0041","2.5","0.97656"
"RPAT_Cervix0045","2.5","0.97656"
"RPAT_Cervix0048","2.5","1.26953"
"RPAT_Cervix0061","2.5","1.17188"
"RPAT_Cervix0062","2","1.17188"
"RPAT_Cervix0063","2.5","1.26953"
"RPAT_Cervix0065","2.5","1.17188"
"RPAT_Cervix0067","2.5","0.97656"
"RPAT_Cervix0068","2.5","1.17188"
"RPAT_Cervix0070","2.5","1.17188"
"RPAT_Cervix0071","2","1.17188"
"RPAT_Cervix0076","2.5","0.97656"
"RPAT_Cervix0077","2.5","1.26953"
"RPAT_Cervix0079","2.5","1.26953"
"RPAT_Cervix0080","2.5","1.26953"
"RPAT_Cervix0084","2.5","1.26953"
